part_name,team_name,year,org_uuid
BBa_250VGPO7,ABOA,2025,ba7f13c5-cce2-40de-ab08-8396aab309e5
BBa_253E9KYQ,ABOA,2025,ba7f13c5-cce2-40de-ab08-8396aab309e5
BBa_255VUL4L,ABOA,2025,ba7f13c5-cce2-40de-ab08-8396aab309e5
BBa_252QK2FN,ABOA,2025,ba7f13c5-cce2-40de-ab08-8396aab309e5
BBa_25P5BZNO,ABOA,2025,ba7f13c5-cce2-40de-ab08-8396aab309e5
BBa_25V0RSVX,ABOA,2025,ba7f13c5-cce2-40de-ab08-8396aab309e5
BBa_25MT4HUW,ABOA,2025,ba7f13c5-cce2-40de-ab08-8396aab309e5
BBa_251O9EM7,ABOA,2025,ba7f13c5-cce2-40de-ab08-8396aab309e5
BBa_25KVIN3O,ABOA,2025,ba7f13c5-cce2-40de-ab08-8396aab309e5
BBa_251WQNNH,ABOA,2025,ba7f13c5-cce2-40de-ab08-8396aab309e5
BBa_25K43P2G,ABOA,2025,ba7f13c5-cce2-40de-ab08-8396aab309e5
BBa_25S8QZYH,ABOA,2025,ba7f13c5-cce2-40de-ab08-8396aab309e5
BBa_25BUXSHY,ABOA,2025,ba7f13c5-cce2-40de-ab08-8396aab309e5
BBa_25FNRV4N,ABOA,2025,ba7f13c5-cce2-40de-ab08-8396aab309e5
BBa_25JXN2WR,ABOA,2025,ba7f13c5-cce2-40de-ab08-8396aab309e5
BBa_250IWA6S,ABOA,2025,ba7f13c5-cce2-40de-ab08-8396aab309e5
BBa_25JYVPQN,SCU-China,2025,5926aa95-b7a1-43c0-97dd-570bb13c8204
BBa_25V0ZX3W,SCU-China,2025,5926aa95-b7a1-43c0-97dd-570bb13c8204
BBa_25XRIBW0,SCU-China,2025,5926aa95-b7a1-43c0-97dd-570bb13c8204
BBa_25Y79J0P,HNU-China,2025,b6212d85-9b53-4e79-927a-9360d476a5cf
BBa_25CTZG9Q,HNU-China,2025,b6212d85-9b53-4e79-927a-9360d476a5cf
BBa_258EKT2X,HNU-China,2025,b6212d85-9b53-4e79-927a-9360d476a5cf
BBa_2563P5EX,CalUCSF,2025,f686223e-691a-47e8-8ed4-b2fdc018e078
BBa_25FW15AV,CalUCSF,2025,f686223e-691a-47e8-8ed4-b2fdc018e078
BBa_25SAZTW8,HNU-China,2025,b6212d85-9b53-4e79-927a-9360d476a5cf
BBa_25EAUO3A,CalUCSF,2025,f686223e-691a-47e8-8ed4-b2fdc018e078
BBa_25SIIXDB,CalUCSF,2025,f686223e-691a-47e8-8ed4-b2fdc018e078
BBa_25MGETYD,CalUCSF,2025,f686223e-691a-47e8-8ed4-b2fdc018e078
BBa_25NHXE3I,CalUCSF,2025,f686223e-691a-47e8-8ed4-b2fdc018e078
BBa_25F7N9EO,CalUCSF,2025,f686223e-691a-47e8-8ed4-b2fdc018e078
BBa_25ZLOXQW,HNU-China,2025,b6212d85-9b53-4e79-927a-9360d476a5cf
BBa_25C4J34E,IITKharagpur,2025,559e7e6e-0ba8-42a9-b8de-e416bfb92513
BBa_25075BDZ,HNU-China,2025,b6212d85-9b53-4e79-927a-9360d476a5cf
BBa_25Q40W6U,JGU-Mainz,2025,508e5f43-eab0-425b-981b-b8845882c934
BBa_25W5M84A,NUS-Singapore,2025,cb9cb1bd-3ca2-40b5-993b-13793685678f
BBa_25RRNXSB,JGU-Mainz,2025,508e5f43-eab0-425b-981b-b8845882c934
BBa_25VACU0F,JGU-Mainz,2025,508e5f43-eab0-425b-981b-b8845882c934
BBa_25EZ8HV0,JGU-Mainz,2025,508e5f43-eab0-425b-981b-b8845882c934
BBa_255DIYN6,NAU-CHINA,2025,2c7e67ff-7fea-4eaa-a00f-cae20ef58a81
BBa_252QAUN3,NAU-CHINA,2025,2c7e67ff-7fea-4eaa-a00f-cae20ef58a81
BBa_25KBLKIT,NAU-CHINA,2025,2c7e67ff-7fea-4eaa-a00f-cae20ef58a81
BBa_25BLFNE8,IITChicago,2025,34c41403-7d38-4fb8-9d02-b324f11e0caa
BBa_25SYBTV0,NAU-CHINA,2025,2c7e67ff-7fea-4eaa-a00f-cae20ef58a81
BBa_25QRY9WC,IITChicago,2025,34c41403-7d38-4fb8-9d02-b324f11e0caa
BBa_257LI0FF,IITChicago,2025,34c41403-7d38-4fb8-9d02-b324f11e0caa
BBa_25OEGIO2,Kyoto,2025,a37e8635-68ff-4bc5-94c7-7bc291ee3fe4
BBa_25PMMXD6,NAU-CHINA,2025,2c7e67ff-7fea-4eaa-a00f-cae20ef58a81
BBa_25UIP3DW,NAU-CHINA,2025,2c7e67ff-7fea-4eaa-a00f-cae20ef58a81
BBa_25MEVTS8,JGU-Mainz,2025,508e5f43-eab0-425b-981b-b8845882c934
BBa_25W7GXW1,JGU-Mainz,2025,508e5f43-eab0-425b-981b-b8845882c934
